Pathway_categories,Number,Type
Ptw/pp1 phosphatase complex,3,cellular_component
Gpi-linked ephrin receptor activity,3,molecular_function
Ran gtpase binding,12,molecular_function
Potassium ion binding,5,molecular_function
Response to interleukin-4,4,molecular_function
Interstitial matrix,3,cellular_component
Anterior/posterior axis specification,4,biological_process
Positive regulation of endothelial cell chemotaxis by vegf-activated vascular endothelial growth factor receptor signaling pathway,3,biological_process
Otic vesicle development,3,biological_process
Protein poly-adp-ribosylation,4,biological_process
Positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,3,biological_process
Detection of mechanical stimulus,4,biological_process
Protein deacetylase activity,4,biological_process
Surfactant homeostasis,6,biological_process
Positive regulation of reactive oxygen species biosynthetic process,6,biological_process
Protein deacetylase activity,4,molecular_function
7s rna binding,2,molecular_function
Radial glia guided migration of purkinje cell,2,biological_process
Transcription by rna polymerase i,4,biological_process
Histone demethylase activity (h3-k27 specific),1,molecular_function
Protein import into mitochondrial matrix,11,biological_process
Non-motile cilium assembly,15,biological_process
Intrinsic apoptotic signaling pathway in response to dna damage,14,biological_process
Negative regulation of neuron death,20,biological_process
Snorna binding,5,molecular_function
Protein deacetylation,6,biological_process
Regulation of mitochondrial membrane permeability,7,biological_process
Protein deacetylation,6,molecular_function
Heart morphogenesis,11,biological_process
Positive regulation of nitric oxide biosynthetic process,12,biological_process
Nucleolar ribonuclease p complex,3,cellular_component
Branching involved in mammary gland duct morphogenesis,7,biological_process
Nucleotide-activated protein kinase complex,7,cellular_component
Histone deacetylation,13,biological_process
Histone deacetylation,13,molecular_function
Protein targeting to er,5,biological_process
Response to salt stress,4,biological_process
Positive regulation of collateral sprouting,5,biological_process
Rna metabolic process,13,biological_process
Rna metabolic process,13,molecular_function
Ribonuclease activity,7,biological_process
Ribonuclease activity,7,molecular_function
Carbonyl reductase (nadph) activity,2,molecular_function
Endocytic recycling,15,biological_process
Histone methylation,8,biological_process
Histone methylation,8,molecular_function
Response to uv,23,biological_process
Labyrinthine layer development,5,biological_process
Positive regulation of adipose tissue development,2,biological_process
Rna polymerase i core binding,3,molecular_function
Peptidoglycan receptor activity,2,molecular_function
Lysophosphatidic acid binding,1,molecular_function
Negative regulation of multicellular organism growth,4,biological_process
Phagosome-lysosome fusion,3,biological_process
Smooth muscle tissue development,6,biological_process
N-acetyltransferase activity,5,molecular_function
Protein adp-ribosylation,7,molecular_function
Branching morphogenesis of a nerve,2,biological_process
Extrinsic apoptotic signaling pathway,10,biological_process
Regulation of t cell activation,3,biological_process
Metalloaminopeptidase activity,6,molecular_function
Derlin-1 retrotranslocation complex,5,cellular_component
Maturation of ssu-rrna from tricistronic rrna transcript (ssu-rrna,6,biological_process
Branching involved in blood vessel morphogenesis,6,biological_process
Mrna cleavage,4,biological_process
Troponin complex,3,cellular_component
Atg1/ulk1 kinase complex,4,cellular_component
Gonadal mesoderm development,1,biological_process
Sin3 complex,8,cellular_component
Ribonuclease p activity,3,molecular_function
T cell receptor complex,13,cellular_component
Signal peptidase complex,3,cellular_component
Hair follicle morphogenesis,9,biological_process
Endoplasmic reticulum unfolded protein response,16,biological_process
Trna processing,6,biological_process
Trna processing,6,molecular_function
Positive regulation of rho protein signal transduction,12,biological_process
Ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,3,biological_process
Saliva secretion,3,biological_process
Left/right axis specification,6,biological_process
Lipopolysaccharide receptor complex,2,cellular_component
Chondrocyte proliferation,6,biological_process
Negative regulation of heart rate,4,biological_process
Dendritic shaft,11,cellular_component
Nad+ adp-ribosyltransferase activity,7,biological_process
Junctional sarcoplasmic reticulum membrane,3,cellular_component
Negative regulation of platelet-derived growth factor receptor signaling pathway,4,biological_process
Ribonucleoprotein complex binding,12,biological_process
Mucosal immune response,4,biological_process
Filopodium assembly,6,biological_process
Atpase activator activity,10,molecular_function
Negative regulation of protein import into nucleus,4,biological_process
Sperm capacitation,10,biological_process
Positive regulation of viral genome replication,8,biological_process
Protein heterotetramerization,12,biological_process
Stat family protein binding,3,molecular_function
Mitochondrial outer membrane translocase complex,5,cellular_component
Negative regulation of execution phase of apoptosis,3,biological_process
Cellular response to misfolded protein,2,biological_process
Macropinosome,2,cellular_component
Embryo development ending in birth or egg hatching,9,biological_process
Tbp-class protein binding,7,molecular_function
Dipeptidase activity,5,molecular_function
Nadp-retinol dehydrogenase activity,2,molecular_function
Polyubiquitin modification-dependent protein binding,6,molecular_function
Cellular protein catabolic process,7,biological_process
Regulation of translational initiation,9,biological_process
Camp-dependent protein kinase regulator activity,3,molecular_function
Cellular response to interleukin-4,8,biological_process
Collagen binding involved in cell-matrix adhesion,2,molecular_function
Oxidoreductase activity,4,molecular_function
C3hc4-type ring finger domain binding,5,molecular_function
Dolichyl-diphosphooligosaccharide-protein glycotransferase activity,4,molecular_function
Regulation of map kinase activity,6,biological_process
Regulation of map kinase activity,6,molecular_function
Positive regulation of extrinsic apoptotic signaling pathway,7,biological_process
Positive regulation of cardiac muscle cell apoptotic process,6,biological_process
Negative regulation of cell volume,2,biological_process
Erythrocyte differentiation,14,biological_process
Negative regulation of calcium ion import,4,biological_process
Superoxide dismutase activity,4,biological_process
Nuclear pore nuclear basket,1,cellular_component
Negative regulation of peptidase activity,5,biological_process
Mitochondrial transport,7,biological_process
Chaperone-mediated protein folding,10,biological_process
Adipose tissue development,10,biological_process
Neuron apoptotic process,12,biological_process
Coronary vasculature development,4,biological_process
Hippocampal mossy fiber to ca3 synapse,11,cellular_component
Modulation of excitatory postsynaptic potential,3,biological_process
Eukaryotic translation initiation factor 2b complex,5,cellular_component
N,3,molecular_function
Cellular response to granulocyte macrophage colony-stimulating factor stimulus,3,biological_process
Activation of protein kinase b activity,8,biological_process
Positive regulation of creb transcription factor activity,7,biological_process
Positive regulation of cardiac muscle hypertrophy,8,biological_process
Cardiac epithelial to mesenchymal transition,4,biological_process
Actomyosin,7,cellular_component
Negative regulation of vascular smooth muscle cell proliferation,9,biological_process
Positive regulation of axonogenesis,13,biological_process
Response to superoxide,2,biological_process
Epithelial cell maturation,2,biological_process
Endolysosome lumen,3,cellular_component
Neural crest cell development,7,biological_process
Eukaryotic translation initiation factor 3 complex,5,cellular_component
Adp-ribose diphosphatase activity,2,molecular_function
Poly(a)+ mrna export from nucleus,4,biological_process
Nuclear inclusion body,2,cellular_component
Hormone-mediated apoptotic signaling pathway,1,biological_process
Positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,4,biological_process
Negative regulation of cell-cell adhesion mediated by cadherin,2,biological_process
Striated muscle thin filament,10,cellular_component
Positive regulation of autophagosome maturation,5,biological_process
Positive regulation of interleukin-2 biosynthetic process,7,biological_process
Ubiquitin-ubiquitin ligase activity,5,molecular_function
Cardiac ventricle morphogenesis,3,biological_process
Cellular response to acidic ph,4,biological_process
Photoreceptor disc membrane,9,cellular_component
Transcription factor activity,12,molecular_function
Lymphocyte differentiation,3,biological_process
Regulation of notch signaling pathway,4,biological_process
Bleb assembly,5,biological_process
Positive regulation of alpha-beta t cell differentiation,6,biological_process
Spleen development,6,biological_process
Endothelial cell migration,6,biological_process
Intrinsic apoptotic signaling pathway in response to oxidative stress,2,biological_process
Deacetylase activity,3,molecular_function
Soft palate development,3,biological_process
Positive regulation of transcription from rna polymerase ii promoter in response to hypoxia,1,biological_process
Smooth muscle contraction,4,biological_process
Acrosomal membrane,11,cellular_component
Glutamate binding,4,biological_process
Microfibril,2,cellular_component
Positive regulation of actin filament depolymerization,4,biological_process
Checkpoint clamp complex,2,cellular_component
Rna 3'-end processing,2,biological_process
Translation release factor activity,3,molecular_function
Ion transmembrane transporter activity,4,biological_process
Ion transmembrane transporter activity,4,molecular_function
Cellular senescence,7,biological_process
Peripheral nervous system myelin maintenance,3,biological_process
Tropomyosin binding,3,molecular_function
Cellular response to extracellular stimulus,4,biological_process
Wnt signaling pathway,10,biological_process
Protein processing,11,biological_process
Positive regulation of release of cytochrome c from mitochondria,11,biological_process
Cytokine secretion,3,biological_process
Amyloid fibril formation,4,biological_process
Muscular septum morphogenesis,3,biological_process
Histone h4-k20 trimethylation,2,biological_process
Regulation of skeletal muscle cell differentiation,2,biological_process
Signal recognition particle receptor complex,4,cellular_component
Integral component of cytoplasmic side of endoplasmic reticulum membrane,1,cellular_component
Gator1 complex,2,cellular_component
Cellular response to chemokine,2,molecular_function
Sulfotransferase activity,11,molecular_function
Endodermal cell fate commitment,3,biological_process
Ubiquitin ligase inhibitor activity,3,molecular_function
G protein-coupled peptide receptor activity,6,biological_process
G protein-coupled peptide receptor activity,6,molecular_function
Protein transmembrane transport,4,biological_process
Cellular response to nicotine,3,biological_process
Negative regulation of macrophage apoptotic process,2,biological_process
Intrinsic component of the cytoplasmic side of the plasma membrane,5,cellular_component
Iron-sulfur cluster binding,3,molecular_function
Microtubule-based process,9,biological_process
Response to cold,7,biological_process
Notch binding,6,molecular_function
Dna packaging,2,biological_process
Ventral spinal cord development,4,biological_process
Potassium:proton antiporter activity,6,molecular_function
Barr body,1,cellular_component
Regulation of postsynaptic membrane potential,8,molecular_function
Activation of cysteine-type endopeptidase activity,3,biological_process
Negative regulation of myd88-independent toll-like receptor signaling pathway,2,biological_process
Positive regulation of glucokinase activity,2,biological_process
Ccr1 chemokine receptor binding,4,molecular_function
Positive regulation of response to cytokine stimulus,3,biological_process
Ciliary rootlet,5,cellular_component
Negative regulation of signaling receptor activity,4,molecular_function
Lysosomal lumen acidification,3,biological_process
Positive regulation of protein polymerization,2,biological_process
Metanephric mesenchymal cell differentiation,4,biological_process
Extrinsic component of postsynaptic density membrane,2,cellular_component
Histamine receptor activity,2,molecular_function
Ciliary neurotrophic factor receptor binding,2,molecular_function
Myosin ii binding,2,molecular_function
Aspartic endopeptidase activity,2,molecular_function
Card domain binding,4,molecular_function
Granzyme-mediated apoptotic signaling pathway,5,biological_process
Relaxation of vascular smooth muscle,2,biological_process
Phosphate ion binding,4,molecular_function
Chromosome condensation,6,biological_process
Phosphatidylinositol-5-phosphate binding,5,molecular_function
Superoxide dismutase copper chaperone activity,3,molecular_function
Adult feeding behavior,8,biological_process
Type 1 angiotensin receptor binding,3,molecular_function
Ether lipid biosynthetic process,5,biological_process
Negative regulation of rna polymerase ii regulatory region sequence-specific dna binding,3,biological_process
Cardiac septum morphogenesis,2,biological_process
Erad pathway,6,molecular_function
Synaptic vesicle clustering,2,biological_process
Beta-galactosidase activity,3,biological_process
Negative regulation of smad protein complex assembly,4,biological_process
Inositol-1,3,molecular_function
Inositol hexakisphosphate 5-kinase activity,3,molecular_function
Creatine kinase activity,4,molecular_function
Inositol hexakisphosphate 1-kinase activity,3,molecular_function
Inositol hexakisphosphate 3-kinase activity,3,molecular_function
Negative regulation of programmed cell death,8,biological_process
Histone h4-k16 acetylation,14,biological_process
Necroptotic signaling pathway,3,biological_process
Palmitoyl-coa hydrolase activity,3,molecular_function
Receptor ligand activity,9,biological_process
Receptor ligand activity,9,molecular_function
Cell volume homeostasis,9,biological_process
Snrna 3'-end processing,6,biological_process
1-phosphatidylinositol-4-phosphate 3-kinase activity,6,molecular_function
Enteric nervous system development,3,biological_process
Urea transport,2,molecular_function
Ribosomal large subunit assembly,10,biological_process
Iris morphogenesis,3,biological_process
Positive regulation of striated muscle cell differentiation,2,biological_process
Positive regulation of small gtpase mediated signal transduction,4,biological_process
Positive regulation of mitotic cell cycle,7,biological_process
Rna methyltransferase activity,3,molecular_function
Limb morphogenesis,7,biological_process
Bile acid metabolic process,6,biological_process
Positive regulation of leukocyte chemotaxis,5,biological_process
Rough endoplasmic reticulum membrane,7,cellular_component
Fructose 2,3,biological_process
Fructose-2,3,molecular_function
Dephosphorylation of rna polymerase ii c-terminal domain,2,biological_process
Interleukin-1 receptor binding,4,molecular_function
Positive regulation of pathway-restricted smad protein phosphorylation,20,biological_process
Regulation of acetyl-coa biosynthetic process from pyruvate,5,biological_process
Poly(g) binding,4,molecular_function
Positive regulation of myelination,4,biological_process
Positive regulation of immunoglobulin production,4,biological_process
Negative regulation of circadian rhythm,5,biological_process
Regulation of protein binding,10,biological_process
Perk-mediated unfolded protein response,5,biological_process
Regulation of gene expression,2,biological_process
Glucose transmembrane transporter activity,2,molecular_function
Beta-catenin destruction complex assembly,2,biological_process
Acrosin binding,2,molecular_function
Estrogen receptor activity,3,molecular_function
Cellular response to vascular endothelial growth factor stimulus,10,biological_process
Ribosomal protein import into nucleus,4,biological_process
Podosome,6,cellular_component
Osteoblast development,12,biological_process
Collagen fibril organization,21,biological_process
Positive regulation of immune response,4,biological_process
Adenylate kinase activity,7,molecular_function
Positive regulation of immune response,4,molecular_function
Apical protein localization,6,biological_process
Response to fungicide,3,biological_process
Anterior commissure morphogenesis,2,biological_process
Meiotic chromosome segregation,3,biological_process
Extrinsic component of endosome membrane,4,cellular_component
Mrna polyadenylation,12,biological_process
Negative regulation of osteoclast development,2,biological_process
Positive regulation of b cell activation,2,biological_process
Regulation of dna-binding transcription factor activity,8,biological_process
Mitochondrial electron transport,12,biological_process
Actin filament polymerization,8,biological_process
Endoribonuclease activity,12,biological_process
Endoribonuclease activity,12,molecular_function
Regulation of long-term synaptic depression,3,biological_process
Adenylate cyclase-inhibiting g protein-coupled glutamate receptor signaling pathway,1,molecular_function
Regulation of t cell differentiation,7,biological_process
Positive regulation of mhc class ii biosynthetic process,3,biological_process
Positive regulation of vascular endothelial growth factor signaling pathway,2,biological_process
Regulation of kinase activity,1,molecular_function
Schmidt-lanterman incisure,3,cellular_component
Mitotic spindle midzone,3,cellular_component
Ribosomal small subunit assembly,6,biological_process
Diet induced thermogenesis,4,biological_process
U2-type catalytic step 2 spliceosome,16,cellular_component
Transmembrane-ephrin receptor activity,4,molecular_function
Ccr5 chemokine receptor binding,6,molecular_function
Negative regulation of interleukin-1-mediated signaling pathway,3,biological_process
Toll-like receptor 4 signaling pathway,5,biological_process
Myoblast fusion,5,biological_process
Sumo transferase activity,7,biological_process
Sumo transferase activity,7,molecular_function
Regulation of mitotic cell cycle,12,biological_process
Peroxisome proliferator activated receptor binding,6,molecular_function
Positive regulation of cell adhesion mediated by integrin,6,biological_process
Endocardial cushion formation,1,biological_process
Regulation of protein metabolic process,2,biological_process
Androgen catabolic process,2,biological_process
Aggresome assembly,3,biological_process
Negative regulation of proteasomal protein catabolic process,4,biological_process
Negative regulation of proteasomal protein catabolic process,4,molecular_function
Galactose catabolic process,4,biological_process
Cellular response to alkaloid,3,biological_process
Chaperone complex,4,cellular_component
Mitochondrial fusion,4,biological_process
Kinetochore binding,2,molecular_function
Aminoacyl-trna synthetase multienzyme complex,3,cellular_component
Co-smad binding,2,molecular_function
Regulation of intracellular ph,13,biological_process
Coronary artery morphogenesis,2,biological_process
Catsper complex,2,cellular_component
Regulation of cytokine biosynthetic process,2,biological_process
Negative regulation of collateral sprouting,3,biological_process
Carbohydrate:proton symporter activity,3,molecular_function
Centromeric dna binding,3,molecular_function
Myristoyl-coa hydrolase activity,2,molecular_function
Negative regulation of mhc class ii biosynthetic process,3,biological_process
Pam complex,4,cellular_component
Axon extension,7,biological_process
Calcium ion regulated exocytosis,11,biological_process
Neuromuscular process,8,biological_process
Ribosomal small subunit binding,6,molecular_function
Cell activation,5,biological_process
Regulation of cytokine-mediated signaling pathway,4,biological_process
Negative regulation of membrane protein ectodomain proteolysis,3,biological_process
Medium-chain fatty acid biosynthetic process,4,biological_process
Negative regulation of amyloid-beta formation,3,biological_process
Negative regulation of monocyte differentiation,3,biological_process
Medium-chain fatty acid catabolic process,2,biological_process
Formation of translation preinitiation complex,7,biological_process
Copper ion transport,3,biological_process
Negative regulation of pri-mirna transcription by rna polymerase ii,3,biological_process
Copper ion transport,3,molecular_function
Sulfur amino acid catabolic process,4,biological_process
Negative regulation of myelination,4,biological_process
Endothelial tube morphogenesis,4,biological_process
Interleukin-4 secretion,2,biological_process
Protein localization to cytoplasmic stress granule,3,biological_process
Toll signaling pathway,2,biological_process
Cellular triglyceride homeostasis,2,biological_process
Cellular response to toxic substance,3,biological_process
Peptidyl-proline hydroxylation to 4-hydroxy-l-proline,5,biological_process
Mrna cis splicing,12,biological_process
Protein localization to phagophore assembly site,3,biological_process
Mitogen-activated protein kinase kinase binding,5,molecular_function
Nucleotidyltransferase activity,7,biological_process
Nucleotidyltransferase activity,7,molecular_function
Mesodermal cell fate specification,2,biological_process
Negative regulation of interleukin-6 biosynthetic process,3,biological_process
Regulation of odontogenesis of dentin-containing tooth,3,biological_process
Signal recognition particle,1,cellular_component
Disulfide oxidoreductase activity,4,molecular_function
Adenyl-nucleotide exchange factor activity,5,molecular_function
Protein phosphatase 1 binding,6,molecular_function
Heparan sulfate proteoglycan binding,5,biological_process
Nucleosome positioning,5,biological_process
Cellular response to fructose stimulus,4,biological_process
Perichromatin fibrils,2,cellular_component
Actin filament-based movement,2,biological_process
Positive regulation of autophagosome assembly,5,biological_process
Antigen processing and presentation of exogenous peptide antigen via mhc class i,3,biological_process
Deoxyribonuclease activity,2,biological_process
Protein k6-linked ubiquitination,5,biological_process
Deoxyribonuclease activity,2,molecular_function
Superoxide-generating nadph oxidase activator activity,4,molecular_function
Endoplasmic reticulum organization,7,biological_process
Negative regulation of protein processing,4,biological_process
Structural constituent of myelin sheath,6,molecular_function
Interleukin-12-mediated signaling pathway,8,molecular_function
Prostate gland epithelium morphogenesis,2,biological_process
Main axon,6,cellular_component
Endopeptidase activator activity,5,molecular_function
Intracellular distribution of mitochondria,2,biological_process
Condensed nuclear chromosome,10,cellular_component
Phosphatase activity,17,biological_process
Mammary gland alveolus development,4,biological_process
Phosphatase activity,17,molecular_function
T cell receptor binding,5,molecular_function
Positive regulation of peptide hormone secretion,5,biological_process
Armadillo repeat domain binding,6,molecular_function
U1 snrna binding,6,molecular_function
Histone methyltransferase activity (h3-k27 specific),2,molecular_function
Cellular protein-containing complex localization,5,biological_process
Centriole-centriole cohesion,6,biological_process
Hematopoietic stem cell proliferation,6,biological_process
Nuclear pore central transport channel,3,cellular_component
Brca1-a complex,4,cellular_component
Rna catabolic process,7,biological_process
Regulation of protein localization to nucleus,4,biological_process
G protein-coupled adenosine receptor activity,2,molecular_function
Naadp-sensitive calcium-release channel activity,3,molecular_function
Mitochondrial translation,8,biological_process
Protein monoubiquitination,10,biological_process
Water transport,6,biological_process
Retinol dehydrogenase activity,4,molecular_function
Hard palate development,2,biological_process
Regulation of stem cell proliferation,3,biological_process
Microglial cell activation,6,biological_process
Negative regulation of gene expression,7,biological_process
Cellular response to uv-c,2,biological_process
Immune system process,8,biological_process
Immune system process,8,molecular_function
Syntaxin-1 binding,11,molecular_function
Rrna transcription,4,biological_process
Procollagen-proline 4-dioxygenase activity,3,molecular_function
Troponin i binding,3,molecular_function
Rna methylation,4,biological_process
Rna methylation,4,molecular_function
Positive regulation of bone resorption,5,biological_process
Positive regulation of cell-cell adhesion mediated by cadherin,3,biological_process
Cellular response to hyperoxia,3,biological_process
Box c/d snornp assembly,4,biological_process
Branching involved in labyrinthine layer morphogenesis,3,biological_process
Rna polymerase i complex,9,cellular_component
Negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway,3,biological_process
Paraspeckles,3,cellular_component
Copii-coated vesicle budding,5,biological_process
Regulation of cytokine production,8,biological_process
Inflammatory response to antigenic stimulus,5,biological_process
Mitochondrial respiratory chain complex iv,3,cellular_component
Staga complex,2,cellular_component
Endocardial cushion development,4,biological_process
Hindbrain development,2,biological_process
Dynamin family protein polymerization involved in mitochondrial fission,1,biological_process
Mammary gland epithelium development,2,biological_process
Glycine decarboxylation via glycine cleavage system,1,biological_process
Retinoic acid receptor activity,2,molecular_function
Rs domain binding,2,molecular_function
Pyruvate transmembrane transporter activity,2,molecular_function
Embryonic hindlimb morphogenesis,8,biological_process
Positive regulation of transcription from rna polymerase ii promoter in response to endoplasmic reticulum stress,6,biological_process
Delayed rectifier potassium channel activity,5,biological_process
Cytokinesis,4,biological_process
Adenylate cyclase-activating adrenergic receptor signaling pathway,3,biological_process
Sarcoplasmic reticulum lumen,8,cellular_component
Protein-arginine deiminase activity,3,molecular_function
Nad+ binding,5,molecular_function
Auditory receptor cell stereocilium organization,2,biological_process
Negative regulation of interleukin-17 production,5,biological_process
Dorsal aorta morphogenesis,2,biological_process
Glial cell-derived neurotrophic factor receptor signaling pathway,2,molecular_function
Adrenergic receptor activity,3,molecular_function
Regulation of skeletal muscle satellite cell proliferation,2,biological_process
Leucine zipper domain binding,8,molecular_function
Xy body,4,cellular_component
Establishment of endothelial intestinal barrier,2,biological_process
Postsynaptic cytosol,4,molecular_function
Positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,4,biological_process
Mrna 5'-utr binding,3,molecular_function
Regulation of phosphorylation,6,biological_process
Righting reflex,2,biological_process
Negative regulation of vascular permeability,5,biological_process
Synaptic vesicle exocytosis,6,biological_process
Actomyosin structure organization,10,biological_process
Hair cell differentiation,4,biological_process
Histone h3-k27 methylation,3,biological_process
Negative regulation of cardiac muscle hypertrophy in response to stress,2,biological_process
Positive regulation of glucose metabolic process,6,biological_process
Negative regulation of protein kinase activity by regulation of protein phosphorylation,5,biological_process
Depyrimidination,2,biological_process
Myosin light chain binding,4,molecular_function
Protein binding involved in protein folding,9,molecular_function
Lysophospholipase activity,5,molecular_function
Positive regulation of branching involved in ureteric bud morphogenesis,7,biological_process
Neuron projection extension,7,biological_process
Cellular response to amino acid stimulus,12,biological_process
Hsp90 protein binding,17,molecular_function
Positive regulation of cd4-positive,2,biological_process
Mitochondrion localization,3,biological_process
Cerebellar granule cell differentiation,2,biological_process
Bh3 domain binding,3,molecular_function
Extracellular matrix binding,4,molecular_function
Developmental process,6,biological_process
Vesicle transport along microtubule,5,biological_process
Cgmp catabolic process,3,biological_process
Efflux transmembrane transporter activity,2,molecular_function
Female gamete generation,10,biological_process
Regulation of mitotic nuclear division,6,biological_process
Paraxial mesoderm development,5,biological_process
Positive regulation of acute inflammatory response,4,biological_process
Glomerular basement membrane development,6,biological_process
Dermatan sulfate biosynthetic process,5,biological_process
Galanin receptor activity,2,molecular_function
Fk506 binding,3,molecular_function
Adult heart development,7,biological_process
Rna polymerase i activity,7,molecular_function
Microtubule associated complex,5,cellular_component
Negative regulation of viral process,2,biological_process
Protein n-linked glycosylation,25,biological_process
Neuron spine,2,cellular_component
Granulocyte differentiation,5,biological_process
Eukaryotic translation initiation factor 4f complex,4,cellular_component
Map kinase activity,3,molecular_function
Positive regulation of phagocytosis,2,biological_process
Negative regulation of mitophagy,3,biological_process
3'-5' exonuclease activity,12,molecular_function
Lung epithelium development,3,biological_process
Response to radiation,9,biological_process
Positive regulation of protein localization to cajal body,4,biological_process
Phospholipid scrambling,3,biological_process
Recognition of apoptotic cell,4,biological_process
Regulation of calcium ion transport,7,biological_process
Protein localization to membrane,5,biological_process
Transmembrane receptor protein serine/threonine kinase signaling pathway,2,molecular_function
Positive regulation of glial cell differentiation,1,biological_process
Trachea formation,2,biological_process
Regulation of cardiac muscle cell action potential involved in regulation of contraction,4,biological_process
Microtubule minus-end,5,cellular_component
Positive regulation of intracellular estrogen receptor signaling pathway,3,biological_process
Membrane protein ectodomain proteolysis,4,biological_process
Protein localization to mitochondrion,1,biological_process
Histone h3-k27 trimethylation,2,biological_process
Marginal zone b cell differentiation,5,biological_process
Protein-arginine omega-n asymmetric methyltransferase activity,3,molecular_function
Adenylate cyclase-activating dopamine receptor signaling pathway,3,biological_process
Intracellular cholesterol transport,2,biological_process
Early endosome lumen,1,cellular_component
Gamma-aminobutyric acid signaling pathway,7,biological_process
Positive regulation of peroxisome proliferator activated receptor signaling pathway,4,biological_process
Axon guidance receptor activity,2,molecular_function
Intracellular estrogen receptor signaling pathway,6,molecular_function
Fibrinogen complex,7,cellular_component
Myosin v binding,9,molecular_function
Endodermal cell fate specification,3,biological_process
Urinary bladder development,4,biological_process
Inner ear development,16,biological_process
Gmp metabolic process,5,biological_process
Gmp metabolic process,5,molecular_function
Myofibril,5,cellular_component
Delta-catenin binding,4,molecular_function
Esc/e(z) complex,3,cellular_component
Regulation of cholesterol transport,2,biological_process
Nad biosynthetic process,5,biological_process
Cerebral cortex neuron differentiation,3,biological_process
Cytoskeleton-dependent intracellular transport,5,biological_process
Transcription factor tftc complex,7,cellular_component
Adenohypophysis development,3,biological_process
Transforming growth factor beta receptor activity,2,molecular_function
Annulate lamellae,2,cellular_component
Gpi-anchor transamidase complex,2,cellular_component
Gpi-anchor transamidase activity,2,molecular_function
Vascular endothelial growth factor receptor 3 binding,2,molecular_function
Negative regulation of chemokine-mediated signaling pathway,3,molecular_function
Cgmp binding,5,molecular_function
Calcium-release channel activity,3,biological_process
Peptidyl-lysine deacetylation,2,biological_process
Negative regulation of interferon-gamma-mediated signaling pathway,1,biological_process
Hemidesmosome assembly,6,biological_process
Arp2/3 protein complex,6,cellular_component
Titin binding,7,molecular_function
Negative regulation of interleukin-1 beta secretion,5,biological_process
Neurotransmitter loading into synaptic vesicle,5,biological_process
Negative regulation of plasminogen activation,4,biological_process
Protein retention in er lumen,5,biological_process
Positive regulation of potassium ion transport,4,biological_process
Lacrimal gland development,2,biological_process
Regulation of synapse structure or activity,3,biological_process
Ionotropic glutamate receptor binding,8,molecular_function
Regulation of transmembrane transporter activity,2,biological_process
G-protein alpha-subunit binding,6,molecular_function
