Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	2/59	2.561614e-05	6.344922e-04	0	0	6.996491e+02	7.396892e+03	BRCA1;TP53
GO_Biological_Process_2021	positive regulation of DNA metabolic process (GO:0051054)	2/63	2.923537e-05	6.724134e-04	0	0	6.536393e+02	6.824081e+03	BRCA1;EGFR
GO_Biological_Process_2021	response to ionizing radiation (GO:0010212)	2/72	3.825055e-05	8.211119e-04	0	0	5.693429e+02	5.790987e+03	BRCA1;TP53
GO_Biological_Process_2021	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	2/92	6.260194e-05	1.259864e-03	0	0	4.423778e+02	4.281648e+03	TP53;EGFR
GO_Biological_Process_2021	response to UV (GO:0009411)	2/99	7.253018e-05	1.305082e-03	0	0	4.103093e+02	3.910866e+03	TP53;EGFR
GO_Biological_Process_2021	positive regulation of protein localization to membrane (GO:1905477)	2/101	7.550052e-05	1.305082e-03	0	0	4.019798e+02	3.815339e+03	TP53;EGFR
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway (GO:0097193)	2/102	7.700797e-05	1.305082e-03	0	0	3.979400e+02	3.769129e+03	BRCA1;TP53
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	3/908	9.327788e-05	1.501774e-03	0	0	5.727600e+04	5.315171e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	cellular response to oxidative stress (GO:0034599)	2/125	1.157746e-04	1.775210e-03	0	0	3.231545e+02	2.929029e+03	TP53;EGFR
GO_Biological_Process_2021	cellular response to organic cyclic compound (GO:0071407)	2/150	1.668003e-04	2.441349e-03	0	0	2.682297e+02	2.333254e+03	BRCA1;EGFR
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	2/156	1.804216e-04	2.525902e-03	0	0	2.577013e+02	2.221440e+03	BRCA1;TP53
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	3/1183	2.064488e-04	2.769855e-03	0	0	5.645100e+04	4.790126e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	cellular response to tumor necrosis factor (GO:0071356)	2/194	2.790226e-04	3.593811e-03	0	0	2.063021e+02	1.688421e+03	BRCA1;TP53
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	2/217	3.490272e-04	4.322568e-03	0	0	1.840186e+02	1.464854e+03	TP53;EGFR
GO_Biological_Process_2021	protein deubiquitination (GO:0016579)	2/267	5.279712e-04	6.296546e-03	0	0	1.489208e+02	1.123826e+03	BRCA1;TP53
GO_Biological_Process_2021	protein modification by small protein removal (GO:0070646)	2/276	5.640633e-04	6.353835e-03	0	0	1.439635e+02	1.076897e+03	BRCA1;TP53
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	2/296	6.484969e-04	6.353835e-03	0	0	1.340340e+02	9.839240e+02	BRCA1;TP53
GO_Biological_Process_2021	DNA repair (GO:0006281)	2/298	6.572607e-04	6.353835e-03	0	0	1.331149e+02	9.753898e+02	BRCA1;TP53
GO_Biological_Process_2021	cellular response to indole-3-methanol (GO:0071681)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	BRCA1
GO_Biological_Process_2021	regulation of histone H4-K16 acetylation (GO:2000618)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	BRCA1
GO_Biological_Process_2021	positive regulation of protein kinase C activity (GO:1900020)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	EGFR
GO_Biological_Process_2021	bone marrow development (GO:0048539)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	TP53
GO_Biological_Process_2021	positive regulation of histone H3-K9 acetylation (GO:2000617)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	BRCA1
GO_Biological_Process_2021	response to indole-3-methanol (GO:0071680)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	BRCA1
GO_Biological_Process_2021	cellular response to antibiotic (GO:0071236)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	TP53
GO_Biological_Process_2021	regulation of protein kinase C activity (GO:1900019)	1/5	7.498315e-04	6.353835e-03	0	0	2.499125e+03	1.798286e+04	EGFR
GO_Biological_Process_2021	regulation of thymocyte apoptotic process (GO:0070243)	1/6	8.997539e-04	6.942325e-03	0	0	1.999200e+03	1.402117e+04	TP53
GO_Biological_Process_2021	negative regulation of histone H3-K9 methylation (GO:0051573)	1/6	8.997539e-04	6.942325e-03	0	0	1.999200e+03	1.402117e+04	BRCA1
GO_Biological_Process_2021	regulation of nitric oxide mediated signal transduction (GO:0010749)	1/6	8.997539e-04	6.942325e-03	0	0	1.999200e+03	1.402117e+04	EGFR
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	2/350	9.055207e-04	6.942325e-03	0	0	1.129253e+02	7.912675e+02	BRCA1;TP53
GO_Biological_Process_2021	positive regulation of protein phosphorylation (GO:0001934)	2/371	1.016888e-03	7.156438e-03	0	0	1.063848e+02	7.330987e+02	TP53;EGFR
GO_Biological_Process_2021	negative regulation of cardiocyte differentiation (GO:1905208)	1/7	1.049661e-03	7.156438e-03	0	0	1.665917e+03	1.142700e+04	EGFR
GO_Biological_Process_2021	negative regulation of centriole replication (GO:0046600)	1/7	1.049661e-03	7.156438e-03	0	0	1.665917e+03	1.142700e+04	BRCA1
GO_Biological_Process_2021	positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	1/7	1.049661e-03	7.156438e-03	0	0	1.665917e+03	1.142700e+04	TP53
GO_Biological_Process_2021	positive regulation of histone H4 acetylation (GO:0090240)	1/7	1.049661e-03	7.156438e-03	0	0	1.665917e+03	1.142700e+04	BRCA1
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	2/381	1.072160e-03	7.156438e-03	0	0	1.035251e+02	7.079127e+02	TP53;EGFR
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	2/384	1.089023e-03	7.156438e-03	0	0	1.026963e+02	7.006431e+02	BRCA1;TP53
GO_Biological_Process_2021	ER overload response (GO:0006983)	1/8	1.199554e-03	7.332534e-03	0	0	1.427857e+03	9.603489e+03	TP53
GO_Biological_Process_2021	stress-induced premature senescence (GO:0090400)	1/8	1.199554e-03	7.332534e-03	0	0	1.427857e+03	9.603489e+03	TP53
GO_Biological_Process_2021	positive regulation of execution phase of apoptosis (GO:1900119)	1/8	1.199554e-03	7.332534e-03	0	0	1.427857e+03	9.603489e+03	TP53
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	3/2206	1.340268e-03	7.332534e-03	0	0	5.338200e+04	3.531158e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	regulation of helicase activity (GO:0051095)	1/9	1.349432e-03	7.332534e-03	0	0	1.249312e+03	8.255546e+03	TP53
GO_Biological_Process_2021	protein K6-linked ubiquitination (GO:0085020)	1/9	1.349432e-03	7.332534e-03	0	0	1.249312e+03	8.255546e+03	BRCA1
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	3/2244	1.410763e-03	7.332534e-03	0	0	5.326800e+04	3.496312e+05	BRCA1;TP53;EGFR
GO_Biological_Process_2021	regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	TP53
GO_Biological_Process_2021	negative regulation of telomerase activity (GO:0051974)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	TP53
GO_Biological_Process_2021	positive regulation of T cell apoptotic process (GO:0070234)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	TP53
GO_Biological_Process_2021	hematopoietic stem cell differentiation (GO:0060218)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	TP53
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	TP53
GO_Biological_Process_2021	dosage compensation (GO:0007549)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	BRCA1
GO_Biological_Process_2021	negative regulation of peptidyl-lysine acetylation (GO:2000757)	1/10	1.499295e-03	7.332534e-03	0	0	1.110444e+03	7.220954e+03	BRCA1
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	2/464	1.586472e-03	7.332534e-03	0	0	8.456710e+01	5.451401e+02	BRCA1;TP53
GO_Biological_Process_2021	regulation of histone H3-K9 acetylation (GO:2000615)	1/11	1.649143e-03	7.332534e-03	0	0	9.993500e+02	6.403335e+03	BRCA1
GO_Biological_Process_2021	negative regulation of centrosome duplication (GO:0010826)	1/11	1.649143e-03	7.332534e-03	0	0	9.993500e+02	6.403335e+03	BRCA1
GO_Biological_Process_2021	negative regulation of intracellular estrogen receptor signaling pathway (GO:0033147)	1/11	1.649143e-03	7.332534e-03	0	0	9.993500e+02	6.403335e+03	BRCA1
GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	1/11	1.649143e-03	7.332534e-03	0	0	9.993500e+02	6.403335e+03	TP53
GO_Biological_Process_2021	DNA damage response, signal transduction resulting in transcription (GO:0042772)	1/11	1.649143e-03	7.332534e-03	0	0	9.993500e+02	6.403335e+03	TP53
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	2/482	1.711043e-03	7.332534e-03	0	0	8.132083e+01	5.180667e+02	BRCA1;TP53
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	2/485	1.732255e-03	7.332534e-03	0	0	8.080331e+01	5.137742e+02	TP53;EGFR
GO_Biological_Process_2021	regulation of histone H3-K9 methylation (GO:0051570)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	BRCA1
GO_Biological_Process_2021	chromatin assembly or disassembly (GO:0006333)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	TP53
GO_Biological_Process_2021	negative regulation of fatty acid biosynthetic process (GO:0045717)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	BRCA1
GO_Biological_Process_2021	negative regulation of histone acetylation (GO:0035067)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	BRCA1
GO_Biological_Process_2021	replicative senescence (GO:0090399)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	TP53
GO_Biological_Process_2021	mitotic G1/S transition checkpoint signaling (GO:0044819)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	TP53
GO_Biological_Process_2021	dosage compensation by inactivation of X chromosome (GO:0009048)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	BRCA1
GO_Biological_Process_2021	mRNA transcription (GO:0009299)	1/12	1.798976e-03	7.332534e-03	0	0	9.084545e+02	5.741921e+03	TP53
GO_Biological_Process_2021	negative regulation of histone methylation (GO:0031061)	1/13	1.948794e-03	7.843895e-03	0	0	8.327083e+02	5.196554e+03	BRCA1
GO_Biological_Process_2021	response to UV-A (GO:0070141)	1/14	2.098597e-03	8.342571e-03	0	0	7.686154e+02	4.739656e+03	EGFR
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	2/546	2.191371e-03	8.418373e-03	0	0	7.151838e+01	4.379234e+02	TP53;EGFR
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	2/547	2.199338e-03	8.418373e-03	0	0	7.138349e+01	4.368383e+02	BRCA1;TP53
GO_Biological_Process_2021	positive regulation of protein export from nucleus (GO:0046827)	1/15	2.248385e-03	8.418373e-03	0	0	7.136786e+02	4.351686e+03	TP53
GO_Biological_Process_2021	positive regulation of histone H3-K4 methylation (GO:0051571)	1/15	2.248385e-03	8.418373e-03	0	0	7.136786e+02	4.351686e+03	BRCA1
GO_Biological_Process_2021	peptidyl-tyrosine autophosphorylation (GO:0038083)	1/15	2.248385e-03	8.418373e-03	0	0	7.136786e+02	4.351686e+03	EGFR
GO_Biological_Process_2021	negative regulation of histone modification (GO:0031057)	1/16	2.398159e-03	8.727971e-03	0	0	6.660667e+02	4.018416e+03	BRCA1
GO_Biological_Process_2021	regulation of ERBB signaling pathway (GO:1901184)	1/16	2.398159e-03	8.727971e-03	0	0	6.660667e+02	4.018416e+03	EGFR
GO_Biological_Process_2021	cellular response to gamma radiation (GO:0071480)	1/17	2.547917e-03	8.727971e-03	0	0	6.244062e+02	3.729253e+03	TP53
GO_Biological_Process_2021	negative regulation of ATPase activity (GO:0032780)	1/17	2.547917e-03	8.727971e-03	0	0	6.244062e+02	3.729253e+03	TP53
GO_Biological_Process_2021	positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	1/17	2.547917e-03	8.727971e-03	0	0	6.244062e+02	3.729253e+03	EGFR
GO_Biological_Process_2021	negative regulation of fatty acid metabolic process (GO:0045922)	1/17	2.547917e-03	8.727971e-03	0	0	6.244062e+02	3.729253e+03	BRCA1
GO_Biological_Process_2021	positive regulation of DNA replication (GO:0045740)	1/17	2.547917e-03	8.727971e-03	0	0	6.244062e+02	3.729253e+03	EGFR
GO_Biological_Process_2021	embryo development ending in birth or egg hatching (GO:0009792)	1/17	2.547917e-03	8.727971e-03	0	0	6.244062e+02	3.729253e+03	BRCA1
GO_Biological_Process_2021	negative regulation of fibroblast proliferation (GO:0048147)	1/18	2.697660e-03	9.143649e-03	0	0	5.876471e+02	3.476150e+03	TP53
GO_Biological_Process_2021	regulation of histone H3-K4 methylation (GO:0051569)	1/19	2.847389e-03	9.355706e-03	0	0	5.549722e+02	3.252888e+03	BRCA1
GO_Biological_Process_2021	regulation of centriole replication (GO:0046599)	1/19	2.847389e-03	9.355706e-03	0	0	5.549722e+02	3.252888e+03	BRCA1
GO_Biological_Process_2021	DNA double-strand break processing (GO:0000729)	1/19	2.847389e-03	9.355706e-03	0	0	5.549722e+02	3.252888e+03	BRCA1
GO_Biological_Process_2021	positive regulation of peptidyl-lysine acetylation (GO:2000758)	1/20	2.997102e-03	9.650669e-03	0	0	5.257368e+02	3.054589e+03	BRCA1
GO_Biological_Process_2021	positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	1/20	2.997102e-03	9.650669e-03	0	0	5.257368e+02	3.054589e+03	EGFR
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	1/21	3.146801e-03	9.934018e-03	0	0	4.994250e+02	2.877372e+03	TP53
GO_Biological_Process_2021	cellular response to estradiol stimulus (GO:0071392)	1/21	3.146801e-03	9.934018e-03	0	0	4.994250e+02	2.877372e+03	EGFR
GO_Biological_Process_2021	negative regulation of lipid biosynthetic process (GO:0051055)	1/22	3.296484e-03	1.010922e-02	0	0	4.756190e+02	2.718115e+03	BRCA1
GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	1/22	3.296484e-03	1.010922e-02	0	0	4.756190e+02	2.718115e+03	TP53
GO_Biological_Process_2021	regulation of execution phase of apoptosis (GO:1900117)	1/22	3.296484e-03	1.010922e-02	0	0	4.756190e+02	2.718115e+03	TP53
GO_Biological_Process_2021	positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	1/23	3.446153e-03	1.018038e-02	0	0	4.539773e+02	2.574277e+03	TP53
GO_Biological_Process_2021	positive regulation of histone acetylation (GO:0035066)	1/23	3.446153e-03	1.018038e-02	0	0	4.539773e+02	2.574277e+03	BRCA1
GO_Biological_Process_2021	regulation of protein export from nucleus (GO:0046825)	1/23	3.446153e-03	1.018038e-02	0	0	4.539773e+02	2.574277e+03	TP53
GO_Biological_Process_2021	negative regulation of reactive oxygen species metabolic process (GO:2000378)	1/23	3.446153e-03	1.018038e-02	0	0	4.539773e+02	2.574277e+03	BRCA1
GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1/24	3.595807e-03	1.024646e-02	0	0	4.342174e+02	2.443770e+03	TP53
GO_Biological_Process_2021	regulation of monooxygenase activity (GO:0032768)	1/24	3.595807e-03	1.024646e-02	0	0	4.342174e+02	2.443770e+03	EGFR
GO_Biological_Process_2021	response to gamma radiation (GO:0010332)	1/24	3.595807e-03	1.024646e-02	0	0	4.342174e+02	2.443770e+03	TP53
GO_Biological_Process_2021	DNA packaging (GO:0006323)	1/24	3.595807e-03	1.024646e-02	0	0	4.342174e+02	2.443770e+03	TP53
GO_Biological_Process_2021	positive regulation of release of cytochrome c from mitochondria (GO:0090200)	1/25	3.745445e-03	1.041909e-02	0	0	4.161042e+02	2.324863e+03	TP53
GO_Biological_Process_2021	positive regulation of vascular endothelial growth factor production (GO:0010575)	1/25	3.745445e-03	1.041909e-02	0	0	4.161042e+02	2.324863e+03	BRCA1
GO_Biological_Process_2021	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	1/26	3.895069e-03	1.041909e-02	0	0	3.994400e+02	2.216111e+03	TP53
GO_Biological_Process_2021	positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	1/26	3.895069e-03	1.041909e-02	0	0	3.994400e+02	2.216111e+03	EGFR
GO_Biological_Process_2021	positive regulation of histone methylation (GO:0031062)	1/26	3.895069e-03	1.041909e-02	0	0	3.994400e+02	2.216111e+03	BRCA1
GO_Biological_Process_2021	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	1/26	3.895069e-03	1.041909e-02	0	0	3.994400e+02	2.216111e+03	TP53
GO_Biological_Process_2021	cellular response to drug (GO:0035690)	1/26	3.895069e-03	1.041909e-02	0	0	3.994400e+02	2.216111e+03	TP53
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	2/742	4.022079e-03	1.041909e-02	0	0	5.204595e+01	2.870832e+02	TP53;EGFR
GO_Biological_Process_2021	negative regulation of catalytic activity (GO:0043086)	1/27	4.044678e-03	1.041909e-02	0	0	3.840577e+02	2.116294e+03	TP53
GO_Biological_Process_2021	regulation of vascular endothelial growth factor production (GO:0010574)	1/27	4.044678e-03	1.041909e-02	0	0	3.840577e+02	2.116294e+03	BRCA1
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	1/27	4.044678e-03	1.041909e-02	0	0	3.840577e+02	2.116294e+03	EGFR
GO_Biological_Process_2021	entrainment of circadian clock by photoperiod (GO:0043153)	1/27	4.044678e-03	1.041909e-02	0	0	3.840577e+02	2.116294e+03	TP53
GO_Biological_Process_2021	photoperiodism (GO:0009648)	1/28	4.194272e-03	1.063430e-02	0	0	3.698148e+02	2.024379e+03	TP53
GO_Biological_Process_2021	cellular response to epidermal growth factor stimulus (GO:0071364)	1/28	4.194272e-03	1.063430e-02	0	0	3.698148e+02	2.024379e+03	EGFR
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	2/764	4.261081e-03	1.067725e-02	0	0	5.048556e+01	2.755619e+02	TP53;EGFR
GO_Biological_Process_2021	regulation of fatty acid biosynthetic process (GO:0042304)	1/29	4.343851e-03	1.067725e-02	0	0	3.565893e+02	1.939487e+03	BRCA1
GO_Biological_Process_2021	negative regulation of transferase activity (GO:0051348)	1/29	4.343851e-03	1.067725e-02	0	0	3.565893e+02	1.939487e+03	TP53
GO_Biological_Process_2021	response to cadmium ion (GO:0046686)	1/29	4.343851e-03	1.067725e-02	0	0	3.565893e+02	1.939487e+03	EGFR
GO_Biological_Process_2021	positive regulation of phosphate metabolic process (GO:0045937)	1/30	4.493415e-03	1.087879e-02	0	0	3.442759e+02	1.860860e+03	EGFR
GO_Biological_Process_2021	negative regulation of Notch signaling pathway (GO:0045746)	1/30	4.493415e-03	1.087879e-02	0	0	3.442759e+02	1.860860e+03	EGFR
GO_Biological_Process_2021	ERBB2 signaling pathway (GO:0038128)	1/32	4.792498e-03	1.110205e-02	0	0	3.220323e+02	1.719879e+03	EGFR
GO_Biological_Process_2021	activation of phospholipase C activity (GO:0007202)	1/32	4.792498e-03	1.110205e-02	0	0	3.220323e+02	1.719879e+03	EGFR
GO_Biological_Process_2021	regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	1/32	4.792498e-03	1.110205e-02	0	0	3.220323e+02	1.719879e+03	BRCA1
GO_Biological_Process_2021	negative regulation of DNA biosynthetic process (GO:2000279)	1/32	4.792498e-03	1.110205e-02	0	0	3.220323e+02	1.719879e+03	TP53
GO_Biological_Process_2021	negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	1/32	4.792498e-03	1.110205e-02	0	0	3.220323e+02	1.719879e+03	BRCA1
GO_Biological_Process_2021	hematopoietic progenitor cell differentiation (GO:0002244)	1/32	4.792498e-03	1.110205e-02	0	0	3.220323e+02	1.719879e+03	TP53
GO_Biological_Process_2021	signal transduction by p53 class mediator (GO:0072331)	1/33	4.942017e-03	1.112818e-02	0	0	3.119531e+02	1.656465e+03	TP53
GO_Biological_Process_2021	regulation of histone acetylation (GO:0035065)	1/33	4.942017e-03	1.112818e-02	0	0	3.119531e+02	1.656465e+03	BRCA1
GO_Biological_Process_2021	positive regulation of histone modification (GO:0031058)	1/33	4.942017e-03	1.112818e-02	0	0	3.119531e+02	1.656465e+03	BRCA1
GO_Biological_Process_2021	mitotic G2 DNA damage checkpoint signaling (GO:0007095)	1/33	4.942017e-03	1.112818e-02	0	0	3.119531e+02	1.656465e+03	BRCA1
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	1/34	5.091521e-03	1.115286e-02	0	0	3.024848e+02	1.597174e+03	TP53
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	1/34	5.091521e-03	1.115286e-02	0	0	3.024848e+02	1.597174e+03	BRCA1
GO_Biological_Process_2021	protein insertion into membrane (GO:0051205)	1/34	5.091521e-03	1.115286e-02	0	0	3.024848e+02	1.597174e+03	EGFR
GO_Biological_Process_2021	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	1/34	5.091521e-03	1.115286e-02	0	0	3.024848e+02	1.597174e+03	TP53
GO_Biological_Process_2021	positive regulation of cell cycle G1/S phase transition (GO:1902808)	1/35	5.241010e-03	1.125070e-02	0	0	2.935735e+02	1.541625e+03	EGFR
GO_Biological_Process_2021	response to estrogen (GO:0043627)	1/35	5.241010e-03	1.125070e-02	0	0	2.935735e+02	1.541625e+03	BRCA1
GO_Biological_Process_2021	negative regulation of organelle assembly (GO:1902116)	1/35	5.241010e-03	1.125070e-02	0	0	2.935735e+02	1.541625e+03	BRCA1
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	1/36	5.390484e-03	1.149494e-02	0	0	2.851714e+02	1.489485e+03	TP53
GO_Biological_Process_2021	negative regulation of G0 to G1 transition (GO:0070317)	1/38	5.689388e-03	1.197374e-02	0	0	2.697297e+02	1.394274e+03	BRCA1
GO_Biological_Process_2021	response to estradiol (GO:0032355)	1/38	5.689388e-03	1.197374e-02	0	0	2.697297e+02	1.394274e+03	EGFR
GO_Biological_Process_2021	negative regulation of cellular metabolic process (GO:0031324)	1/39	5.838817e-03	1.212711e-02	0	0	2.626184e+02	1.350706e+03	BRCA1
GO_Biological_Process_2021	regulation of nitric-oxide synthase activity (GO:0050999)	1/39	5.838817e-03	1.212711e-02	0	0	2.626184e+02	1.350706e+03	EGFR
GO_Biological_Process_2021	stem cell differentiation (GO:0048863)	1/40	5.988231e-03	1.212711e-02	0	0	2.558718e+02	1.309541e+03	TP53
GO_Biological_Process_2021	negative regulation of ERBB signaling pathway (GO:1901185)	1/40	5.988231e-03	1.212711e-02	0	0	2.558718e+02	1.309541e+03	EGFR
GO_Biological_Process_2021	bone development (GO:0060348)	1/40	5.988231e-03	1.212711e-02	0	0	2.558718e+02	1.309541e+03	TP53
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	1/40	5.988231e-03	1.212711e-02	0	0	2.558718e+02	1.309541e+03	TP53
GO_Biological_Process_2021	regulation of G0 to G1 transition (GO:0070316)	1/41	6.137631e-03	1.227526e-02	0	0	2.494625e+02	1.270591e+03	BRCA1
GO_Biological_Process_2021	regulation of release of cytochrome c from mitochondria (GO:0090199)	1/41	6.137631e-03	1.227526e-02	0	0	2.494625e+02	1.270591e+03	TP53
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	1/42	6.287015e-03	1.241975e-02	0	0	2.433659e+02	1.233687e+03	BRCA1
GO_Biological_Process_2021	negative regulation of protein catabolic process (GO:0042177)	1/42	6.287015e-03	1.241975e-02	0	0	2.433659e+02	1.233687e+03	EGFR
GO_Biological_Process_2021	cellular response to glucose starvation (GO:0042149)	1/43	6.436385e-03	1.256070e-02	0	0	2.375595e+02	1.198675e+03	TP53
GO_Biological_Process_2021	positive regulation of phospholipase C activity (GO:0010863)	1/43	6.436385e-03	1.256070e-02	0	0	2.375595e+02	1.198675e+03	EGFR
